LABEL,TRACK_ID,SPOT_SOURCE_ID,SPOT_TARGET_ID,LINK_COST,DIRECTIONAL_CHANGE_RATE,SPEED,DISPLACEMENT,EDGE_TIME,EDGE_X_LOCATION,EDGE_Y_LOCATION,EDGE_Z_LOCATION,MANUAL_EDGE_COLOR
Label,Track ID,Source spot ID,Target spot ID,Edge cost,Directional change rate,Speed,Displacement,Edge time,Edge X,Edge Y,Edge Z,Manual edge color
Label,Track ID,Source ID,Target ID,Cost,? rate,Speed,Disp.,Edge T,Edge X,Edge Y,Edge Z,Edge color
,,,,(cost),(rad/frame),( /frame),( ),(frame),( ),( ),( ),
ID1170313 ? ID1170075,27,1170313,1170075,0.0705050281800087,2.4453499625670547,0.10372926418965389,0.10372926418965389,38.5,417.4959750431887,406.14724310776944,0.0,
ID1173724 ? ID1174032,27,1173724,1174032,0.16955265517592255,0.21904778323503463,1.4330618115914409,1.4330618115914409,53.5,426.7651606758867,395.0540885596819,0.0,
ID1174118 ? ID1174448,27,1174118,1174448,0.106189217949609,0.4238275110149193,0.6527328035630331,0.6527328035630331,55.5,428.14583333333337,393.6244791666667,0.0,
ID1167723 ? ID1168347,27,1167723,1168347,0.05018587360573701,2.6334968607957947,0.12840929010696783,0.12840929010696783,21.5,416.0024146422451,409.6923642771101,0.0,
ID1166105 ? ID1167174,27,1166105,1167174,0.11165845648608785,2.58532992413007,0.59059440341605,0.59059440341605,11.5,416.97627715083115,410.5655165729793,0.0,
ID1170035 ? ID1170554,27,1170035,1170554,0.08098651357134057,1.051697523217304,0.374729733412598,0.374729733412598,35.5,417.6340163318028,405.42041342640516,0.0,
ID1165647 ? ID1165649,28,1165647,1165649,0.06083262531845324,2.8163559914958234,0.14983664095696442,0.14983664095696442,2.5,939.4497975177117,384.6885577598056,0.0,
ID1171141 ? ID1170842,28,1171141,1170842,0.1352201257861635,0.46201384164840237,1.2133782471873658,1.2133782471873658,40.5,938.5887751378046,400.8990222146389,0.0,
ID1165649 ? ID1165661,28,1165649,1165661,0.12546816479400746,1.63652136898345,0.11243329622742777,0.11243329622742777,3.5,939.3596093747913,384.697828196553,0.0,
ID1171821 ? ID1172325,28,1171821,1172325,0.11406649616357056,0.4899177709239765,0.8576580378182643,0.8576580378182643,44.5,937.5858879044481,404.4664735172448,0.0,
ID1172539 ? ID1173097,28,1172539,1173097,0.12029981650195343,0.4580668182611236,1.0253575089145255,1.0253575089145255,49.5,934.9872387512862,407.32615796814207,0.0,
ID1171728 ? ID1172789,28,1171728,1172789,0.0797000833100675,0.41689779074063416,0.5947406915632203,0.5947406915632203,47.5,936.0054804748281,405.77113658418244,0.0,
ID1171235 ? ID1171628,28,1171235,1171628,0.1358008644385721,0.8101663902577939,1.00526731518154,1.00526731518154,42.5,938.3705907679928,402.64099624530195,0.0,
ID1172789 ? ID1172539,28,1172789,1172539,0.10924929996876032,0.223510183002551,1.101970030379514,1.101970030379514,48.5,935.4338423759034,406.39144736842104,0.0,
ID1175337 ? ID1175328,28,1175337,1175328,0.15217271149510292,0.38562807592392295,1.247316306069968,1.247316306069968,59.5,924.2530431598353,421.958925760369,0.0,
ID1167566 ? ID1167963,28,1167566,1167963,0.10813542193015657,2.1707333584958652,0.7100358851206839,0.7100358851206839,17.5,940.0104389815704,387.2598442746547,0.0,
ID1167943 ? ID1167971,28,1167943,1167971,0.10723192019950123,2.5157476908295693,0.7486298363236993,0.7486298363236993,24.5,940.8854319044103,388.9233788201749,0.0,
ID1169260 ? ID1169019,28,1169260,1169019,0.506693711967581,2.861986462243764,7.596530381927898,7.596530381927898,30.5,941.1572464108649,390.50295129506486,0.0,
ID1167963 ? ID1167371,28,1167963,1167371,0.07448562620962751,0.6314725702436816,0.5293400521396017,0.5293400521396017,18.5,940.0585422658294,387.8476023712167,0.0,
ID1173996 ? ID1174102,28,1173996,1174102,0.46027287319414956,1.85789398961657,7.301559916683196,7.301559916683196,54.5,939.9069317009851,381.05346651730144,0.0,
ID1165923 ? ID1166073,28,1165923,1166073,0.1457204767063337,1.4761992802369939,0.3120707837811606,0.3120707837811606,10.5,939.7108456052607,385.67716752595885,0.0,
ID1168996 ? ID1169385,28,1168996,1169385,0.1741845940318485,0.1485034595779429,1.374790785397467,1.374790785397467,31.5,938.7457842421716,375.93313262433526,0.0,
ID1171628 ? ID1171821,28,1171628,1171821,0.12422593357094447,0.7717250340204895,1.2427860408738185,1.2427860408738185,43.5,938.2272683614462,403.6734361802203,0.0,
ID1171183 ? ID1171545,28,1171183,1171545,0.08661287666717887,2.622895394246923,0.5247787251551488,0.5247787251551488,42.5,939.7005765977178,377.2912583914326,0.0,
ID1175234 ? ID1175223,28,1175234,1175223,0.13967611336032393,0.1600358816063391,0.9176937478433208,0.9176937478433208,59.5,940.5605085682698,384.66472873726605,0.0,
ID1167161 ? ID1166353,28,1167161,1166353,0.06289671090581328,2.416040511237384,0.2671122673368745,0.2671122673368745,12.5,939.876595783212,386.07999529148077,0.0,
ID1166353 ? ID1166716,28,1166353,1166716,0.07305422871580536,2.8865857680189038,0.5533072767890881,0.5533072767890881,13.5,939.9193492584473,386.22504276225817,0.0,
ID1165661 ? ID1165813,28,1165661,1165813,0.11812247435505718,1.975508864774516,0.1398412972993849,0.1398412972993849,4.5,939.4023194690848,384.75377094421447,0.0,
ID1168309 ? ID1167987,28,1168309,1167987,0.08325706170134572,0.6222451248985151,0.6356097469525014,0.6356097469525014,22.5,940.8126884970934,388.94253234225874,0.0,
ID1175085 ? ID1175194,28,1175085,1175194,0.21412803532008828,1.0496604146411541,1.7398213746840094,1.7398213746840094,58.5,937.1418208685925,366.0719809691759,0.0,
ID1175161 ? ID1175085,28,1175161,1175085,0.10014992503748121,1.4450441000752012,0.47604609947112825,0.47604609947112825,57.5,937.3617475356493,367.05747918461094,0.0,
ID1170803 ? ID1171183,28,1170803,1171183,0.04064587973261247,1.9866498336456921,0.17544076533543998,0.17544076533543998,41.5,939.6296359823554,377.1136867107008,0.0,
ID1173097 ? ID1173167,28,1173097,1173167,0.08699784886217488,0.6342745920341485,0.7352831971189143,0.7352831971189143,50.5,934.6068252352771,408.0724358249463,0.0,
ID1175120 ? ID1175234,28,1175120,1175234,0.106531452381871,2.2516932672373238,0.46662499766882926,0.46662499766882926,58.5,940.7406846884459,385.33097582351314,0.0,
ID1167545 ? ID1167708,28,1167545,1167708,0.09524498387017477,2.1709533970645607,0.6049677852289487,0.6049677852289487,20.5,940.1949987723149,388.3354621517768,0.0,
ID1167708 ? ID1168309,28,1167708,1168309,0.08654560933253408,0.5718456586888094,0.2800664214873412,0.2800664214873412,21.5,940.5058435993637,388.62824011080835,0.0,
ID1173386 ? ID1173682,28,1173386,1173682,0.07117540987011817,0.07355860565152673,0.3157946647959627,0.3157946647959627,52.5,939.5155141843973,377.60265435961617,0.0,
ID1169768 ? ID1170023,28,1169768,1170023,0.19301848049282766,0.18630585681448947,1.2152849479998795,1.2152849479998795,34.5,940.5458928223909,394.90151944046374,0.0,
ID1174409 ? ID1175161,28,1174409,1175161,0.15549188591880647,0.9374211170567683,0.7947836565634367,0.7947836565634367,56.5,937.5134115900964,367.5214835053633,0.0,
ID1171645 ? ID1172771,28,1171645,1172771,0.07692307692307687,3.1034743057018757,0.4846017485843447,0.4846017485843447,47.5,940.1051644895986,378.31934365424934,0.0,
ID1166940 ? ID1167258,28,1166940,1167258,0.07395545203068377,2.2177992690092774,0.6442535119341414,0.6442535119341414,15.5,939.7436035709126,386.706796594395,0.0,
ID1166073 ? ID1167161,28,1166073,1167161,0.11819511402425398,1.8419424297914708,0.5729111784092988,0.5729111784092988,11.5,939.7055412628135,385.96427844920424,0.0,
ID1173441 ? ID1173738,28,1173441,1173738,0.09771509064111916,0.29223872736663814,0.6977869521720002,0.6977869521720002,52.5,934.1442145783724,408.93011968176626,0.0,
ID1166399 ? ID1165923,28,1166399,1165923,0.08191558868358473,0.5190287889413852,0.42548384177932363,0.42548384177932363,9.5,939.826268506309,385.42705813265104,0.0,
ID1169385 ? ID1169504,28,1169385,1169504,0.11378439452343214,0.40394966440767555,0.8357789060137542,0.8357789060137542,32.5,938.5802648058686,374.8616762092205,0.0,
ID1167987 ? ID1167943,28,1167987,1167943,0.05451073058671552,0.5745817201777461,0.09569188651111456,0.09569188651111456,23.5,941.032464090844,389.2262853068719,0.0,
ID1166716 ? ID1166940,28,1166716,1166940,0.12333825701621592,1.962645354497928,0.3100423447092737,0.3100423447092737,14.5,939.78981794068,386.45094847681054,0.0,
ID1174052 ? ID1174156,28,1174052,1174156,0.12350982708609548,0.38295514737354,1.1103916512643195,1.1103916512643195,54.5,933.4206765024084,409.8422226077486,0.0,
ID1172254 ? ID1171787,28,1172254,1171787,0.10541945063103197,2.595441517072021,0.102970831674498,0.102970831674498,45.5,939.983532830895,378.1151995796595,0.0,
ID1165813 ? ID1166122,28,1165813,1166122,0.08880200538754812,0.8369157625457985,0.35876488737097895,0.35876488737097895,5.5,939.5790037342352,384.9042718241386,0.0,
ID1170481 ? ID1170420,28,1170481,1170420,0.12408759124087587,1.7021957248112554,0.1885515077263799,0.1885515077263799,36.5,939.1159899635036,374.8487302311435,0.0,
ID1170420 ? ID1170251,28,1170420,1170251,0.13884007029876977,2.174623391308874,0.7461464084446298,0.7461464084446298,37.5,939.3700975140581,375.0574406845029,0.0,
ID1167971 ? ID1168630,28,1167971,1168630,0.06227106227106227,0.5921871615155312,0.678308909254112,0.678308909254112,25.5,940.7138173674095,388.2628084777441,0.0,
ID1174102 ? ID1174435,28,1174102,1174435,0.11045281421911979,0.8076231515588113,0.4546510778070691,0.4546510778070691,55.5,940.2703656313246,384.84755297974476,0.0,
ID1169504 ? ID1169756,28,1169504,1169756,0.08802456499488232,2.0503708670571275,0.3401344671758123,0.3401344671758123,33.5,938.7638245884773,374.5387563075642,0.0,
ID1167371 ? ID1167545,28,1167371,1167545,0.12266401590470288,1.979037859388897,0.15746539563725603,0.15746539563725603,19.5,940.0937888029707,388.08939027476185,0.0,
ID1169981 ? ID1170481,28,1169981,1170481,0.15909394925746712,2.9466305463182834,0.9672569761486766,0.9672569761486766,35.5,938.9056183730947,374.41678056660044,0.0,
ID1171787 ? ID1171645,28,1171787,1171645,0.1058411174613848,1.5773682696636304,0.47220735273942255,0.47220735273942255,46.5,940.1159274382803,378.31696079351667,0.0,
ID1175194 ? ID1175180,28,1175194,1175180,0.12315115913162156,0.7124606969793749,0.7344706010662528,0.7344706010662528,59.5,936.8867390425805,364.9274073257651,0.0,
ID1173058 ? ID1173116,28,1173058,1173116,0.05679081975743916,2.4625122049950385,0.44852307885678594,0.44852307885678594,50.5,939.7215567787268,378.30623027456727,0.0,
ID1175269 ? ID1175189,28,1175269,1175189,0.20583048155153938,1.435948321542365,1.0459033046198787,1.0459033046198787,57.5,935.0067626224845,404.9707953527461,0.0,
ID1172500 ? ID1173058,28,1172500,1173058,0.07880564455663364,2.873406757148555,0.4891699375768615,0.4891699375768615,49.5,939.8717592687635,378.2594373515135,0.0,
ID1166917 ? ID1165647,28,1166917,1165647,0.05122383824044641,1.896072108385727,0.25993818796544127,0.25993818796544127,1.5,939.3868243898653,384.69782607490674,0.0,
ID1170304 ? ID1170070,28,1170304,1170070,0.1306317644099303,0.49069116154936593,1.0556164909622698,1.0556164909622698,38.5,939.0271463838781,398.6554034524097,0.0,
ID1166913 ? ID1166483,28,1166913,1166483,0.11181659351433415,2.6084850343708346,0.3782590438835182,0.3782590438835182,7.5,939.5886369419718,385.0524479301703,0.0,
ID1174156 ? ID1174482,28,1174156,1174482,0.16451836870237024,0.2010830628871826,1.5138143642189157,1.5138143642189157,55.5,932.3108306337388,410.52991571654957,0.0,
ID1169260 ? ID1168996,28,1169260,1168996,0.5755983654407473,0.2785021846943764,10.289559664361713,10.289559664361713,30.5,939.7561069450792,381.67035039465316,0.0,
ID1169544 ? ID1169768,28,1169544,1169768,0.09220985691573924,1.1492424408315844,0.47316096277013375,0.47316096277013375,33.5,941.1349621040016,394.3009077260425,0.0,
ID1175224 ? ID1175337,28,1175224,1175337,0.15478169833158417,0.3382515250292429,0.9761194989416287,0.9761194989416287,58.5,924.9358858146929,421.1074938175192,0.0,
ID1170483 ? ID1170304,28,1170483,1170304,0.1428571428571429,1.2604471960394767,0.8694620573174761,0.8694620573174761,37.5,938.6876866910056,397.7852879069924,0.0,
ID1168667 ? ID1169023,28,1168667,1169023,0.07726180944760286,0.06189866602132938,0.34072909662994216,0.34072909662994216,28.5,940.5781762962267,387.4412995348014,0.0,
ID1175297 ? ID1175288,28,1175297,1175288,0.09580364212197578,3.082330727555085,0.3111807109091176,0.3111807109091176,59.5,934.9622909073615,405.2432139918229,0.0,
ID1174066 ? ID1174409,28,1174066,1174409,0.13230509699942894,0.2956786996666125,0.4991396846841343,0.4991396846841343,55.5,937.7751591023466,368.04022539313536,0.0,
ID1171757 ? ID1172254,28,1171757,1172254,0.07732666074747341,2.759977504656799,0.22528138249870575,0.22528138249870575,44.5,939.9935192237173,378.1881893317537,0.0,
ID1171858 ? ID1171728,28,1171858,1171728,0.09552684360285235,0.6457990897410483,0.585954413596601,0.585954413596601,46.5,936.3699987905961,405.3231271875454,0.0,
ID1170019 ? ID1171115,28,1170019,1171115,0.08412271148810335,0.3403829669028821,0.18122056755753493,0.18122056755753493,39.5,939.7577219868112,376.0495576294833,0.0,
ID1174435 ? ID1175203,28,1174435,1175203,0.09927611168562567,0.6687552054390424,0.20455131313799957,0.20455131313799957,56.5,940.0298646908236,385.0494933816851,0.0,
ID1170251 ? ID1170019,28,1170251,1170019,0.09636149169762787,1.022968227746647,0.7456930653499292,0.7456930653499292,38.5,939.742780877692,375.5905451807448,0.0,
ID1169023 ? ID1169260,28,1169023,1169260,0.08205023582866933,0.641267181450924,0.5454809942466132,0.5454809942466132,29.5,940.5266789351404,387.02269667647244,0.0,
ID1173738 ? ID1174052,28,1173738,1174052,0.0815414688634103,0.0843186974620604,0.2879004203991188,0.2879004203991188,53.5,933.9267419739517,409.3719835830949,0.0,
ID1175294 ? ID1175224,28,1175294,1175224,0.16604287172489496,0.013584333407536838,0.9221242299444885,0.9221242299444885,57.5,925.5586238474169,420.4092617152962,0.0,
ID1168630 ? ID1168517,28,1168630,1168517,0.04199740606518498,0.980260069718725,0.1253842360269837,0.1253842360269837,26.5,940.7870981439628,387.8923169645915,0.0,
ID1171545 ? ID1171757,28,1171545,1171757,0.09166680500228197,0.46339757871020804,0.7998443241962788,0.7998443241962788,43.5,939.9090109037753,377.90205993347354,0.0,
